22:48:53.409 ->    416,  -144, 18108,27.35,  -772,   285,  -189
22:48:53.442 ->    344,   -84, 18396,27.31,  -780,   167,  -190
22:48:53.508 ->    260,  -116, 18372,27.35,  -769,   156,  -202
22:48:53.575 ->    344,  -140, 18144,27.31,  -768,   187,  -208
22:48:53.608 ->    356,  -144, 18284,27.35,  -783,   194,  -172
22:48:53.674 ->    432,   -92, 18428,27.21,  -766,   167,  -211
22:48:53.707 ->    412,  -152, 18136,27.35,  -756,   174,  -185
22:48:53.774 ->    308,  -152, 18300,27.40,  -772,   169,  -210
22:48:53.807 ->    320,   -24, 18228,27.35,  -750,   170,  -204
22:48:53.873 ->    260,  -184, 18212,27.31,  -757,   120,  -207
22:48:53.906 ->    280,  -128, 18348,27.35,  -744,   165,  -202
22:48:53.973 ->    312,  -204, 18220,27.31,  -781,   269,  -218
22:48:54.006 ->    308,  -108, 18336,27.26,  -765,   122,  -189
22:48:54.072 ->    412,  -156, 18232,27.40,  -772,   192,  -222
22:48:54.105 ->    416,  -164, 18216,27.35,  -755,   175,  -213
